,ID,Progress,Duration (in seconds),Finished,RecordedDate,UserLanguage,What category does a majority of your clientele (coaching) fall under? ,How long have you been coaching?,"Do you coach clients that are natural, enhanced, or both?","After completion of a caloric deficit (fat loss phase) in your natural athletes, do you purposely increase calories for your clients?�","In your natural athletes, do you utilize what you would consider is a ""reverse dieting"" approach?","When implementing a reverse diet for natural clients, do you primarily focus on manipulating specific macronutrients or general caloric intake?","Does your clientele consist of primarily men, women, or both?�","After a caloric deficit for a natural 100kg male utilizing a reverse dieting strategy, on average, what is your daily caloric increase?","After a caloric deficit for a natural 60kg female utilizing a reverse dieting strategy, on average, what is your daily caloric increase?","After a caloric deficit for a natural 100kg male utilizing a reverse dieting strategy, on average, what is your daily total macronutrient (PRO + CHO+ FAT) increase?","After a caloric deficit for a natural 60kg female utilizing a reverse dieting strategy, on average, what is your daily total macronutrient (PRO + CHO+ FAT) increase?",How many weeks on average do your natural clients spend reverse dieting?,"If you prescribed a natural client (x) amount of cardio and/or step count during the caloric deficit (fat loss phase), how do you adjust cardio/step count once the fat loss phase is completed?�","If your clients have ever experienced a negative effect from reverse dieting please explain. (e.g. adherence, body fat levels, hormonal factors, etc.)�",Why do you implement a reverse dieting strategy after a caloric deficit (fat loss phase) as opposed to another approach?,"By selecting �yes� I understand my responses, while remaining anonymous, IP address information is collected in order to prevent duplicate survey responses, and will be used for research analysis.",,,,
,ID12,100,193,TRUE,12/23/2023 11:05,EN,Lifestyle/General population,2-4 years,I coach both,Yes,Yes,I focus on Macronutrients,I coach Both,400,,20+80+0,10+40+0,10,Decrease,managing hunger is hard during the reverse,I have personally and anecdotally seen better results following a structured reverse vs going immediately back to maintenance calories ,Yes,,,,
,ID13,100,240,TRUE,1/2/2024 11:28,EN,Lifestyle/General population,5-8 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I only coach Women,,,,Focusing on increasing carbs and fats specifically. Ideally in seven days I would aim to have my client up by 40-50% carb intake and 20-35% fat increase ,6-Apr,Decrease,N/a,It’s the most sustainable physically and mentally to the client ,Yes,,,,
,ID14,100,351,TRUE,12/25/2023 14:47,EN,Lifestyle/General population,>8 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I only coach Women,,,,So we focus predominantly on increasing calories each week and it depends on how long and aggressive their fat loss phase was. But typically 100 calories up a week. Protein is typically the same and we increase carbs more than fat. But again it depends ,When the start with us we typically increase for 8-12+ weeks (menopausal women who are coming in with adrenal dysfunction and hormonal issues and eating way too low of calories ,Increase,"Increase in weight for some but always improvements in hormonal levels, energy and sleep",To avoid a drop in metabolic rate and improve them being able to maintain results ,Yes,,,,
,ID15,100,1004,TRUE,1/24/2024 12:53,EN,Lifestyle/General population,>8 years,I coach both,Yes,Yes,I focus on Calories,I coach Both,"Varies however my goal is to get them up to maintenance on the quicker side. So about 10-15% immediately as a weekly goal, monitoring daily bodyweight measurements.",,"Protein wouldn't change. Based on this data, 200 g Pro + 222 g CHO + 68 g F.",I would start her at 1150 and increase it 15-20% each week until new maintenance.,"On average, I would say 4-6 weeks.",Decrease,"Adherence can be difficult. Mentally, client's get nervous when adding back calories so dealing with that can be challenging for them.","It helps me find their new maintenance range of calories. Also, client's are less nervous with a reverse than a big jump to maintenance.",Yes,,,,
,ID16,100,1036,TRUE,1/3/2024 15:14,EN,Lifestyle/General population,>8 years,I coach both,Yes,Yes,I focus on Macronutrients,I coach Both,About 100cals on avg ,,Primarily focus on increasing protein over the course of weeks. ,"Primarily increase in protein. Depends on the amount they were eating prior, aiming for .8g/kg/bw and gradually increasing this towards 1.5-1.8. ",12 weeks . Usually the first 6 weeks are the most rapid. ,Decrease,No,"Majority of clients of mine are coming from an already existing caloric deficit. Typically in their first assesment logs or interviews they are already eating less than 1,000 calories. Therefore majority of all of them start in some progression of reverse dieting back into overal general caloric intake. Then the second step of my program is adjusting macros and activities, step 3 food timing , step 4 progressions/adjustments or maintenance. In my programs and practice the first 6 weeks of them reverse dieting has achieved great fat loss while preserving if not improving lean mass. I use InBody machines for these measures. ",Yes,,,,
,ID17,100,529,TRUE,12/22/2023 9:41,EN,Competitive physique athletes,5-8 years,I coach both,Yes,Yes,I focus on Macronutrients,I coach Both,150-300,,Completely depends on their biofeedback whether or not we need to be more aggressive with increased intake,See answer above,Roughly same # of weeks they spent in fat loss phase,Decrease,Some clients lose motivation to track as consistently as they did in a fat loss phase; others will utilize their macros in a reverse diet for less nutritional food sources thus having an effect on digestion and skin appearance,"A reverse dieting strategy typically allows the client to maintain majority of the results achieved throughout the fat loss phase while raising metabolic rate, restoring hormonal balance and decreasing physiological stress on the body. Some clients benefit from a recovery diet approach post contest prep depending on biofeedback",Yes,,,,
,ID18,56,399,FALSE,2/4/2024 6:58,EN,Competitive physique athletes,>8 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I only coach Women,,,,,,,,,,,,,
,ID19,100,784,TRUE,1/29/2024 20:22,EN,Competitive physique athletes,2-4 years,I coach both,Yes,Yes,I focus on Macronutrients,I coach Both,I'm adding an average of 200 calories per day,,"Protein is set at 220 grams,  Fats are 66 Grams Carbs are 132 grams. I would Increase carbs only over the next 7 day aiming to increase calories back to theoretical mantiance as quick as possible ",,8,Decrease,N/A,Depending on the individual and the effects they have experienced during the fat loss phase I would either I'mplement a reverse diet or recovery diet. If no hormone or psychological benefits occur I would use a reverse diet approach to prevent unwanted fat/weight gain. IF those factors do occur I would I would use a recovery diet and have the client get back to maintenance as quickly as possible ,Yes,,,,
,ID20,100,903,TRUE,1/9/2024 0:40,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,200,,40,20,8-Apr,Decrease,No,Because I think you have minimal increase in body fat by reverse dieting,Yes,,,,
,ID21,11,98,FALSE,1/30/2024 19:08,EN,,,,,,,,,,,,,,,,,,,,
,ID22,56,224,FALSE,1/1/2024 14:29,EN,Lifestyle/General population,<2 years,I only coach natural athletes,Yes,Yes,I focus on Calories,I coach Both,1-200,,,,,,,,,,,,
,ID23,100,696,TRUE,12/26/2023 15:27,EN,Lifestyle/General population,2-4 years,I coach both,Yes,Yes,I focus on Macronutrients,I coach Both,It depends on the person and their goals ,,Depends on goals... but at least 30g of protein,It wouldnt have ended at 1000 calories. I dont coach anyone on 1000 calories ,Depends on adherence to the plan. Could be weeks or months,No change,No,Yes,Yes,,,,
,ID24,56,120,FALSE,1/4/2024 6:26,EN,Lifestyle/General population,5-8 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,2-400,,,,,,,,,,,,
,ID25,100,63,TRUE,1/3/2024 14:01,EN,Lifestyle/General population,>8 years,I only coach natural athletes,No,No,,,,,,,,,,,,,,,
,ID26,11,49,FALSE,1/18/2024 19:23,EN,,,,,,,,,,,,,,,,,,,,
,ID27,56,232,FALSE,12/29/2023 16:02,EN,"Strength Athletes (powerlifting, strongman, weightlifting)",<2 years,I coach both,Yes,Yes,I focus on Macronutrients,I coach Both,I wouldn’t increase on a daily basis more like weekly depending on how the client is responding ,,,,,,,,,,,,
,ID28,100,622,TRUE,12/21/2023 13:03,EN,Lifestyle/General population,>8 years,I coach both,Yes,Yes,I focus on Calories,I coach Both,15-40 depending on how they respond. ,,Protein 0-10g Carbs 0-40g Fats 0-20G,Protein 0-10g Carbs 0-30g Fats 0-10G,3-9 depending but 4.5 average,No change,Adherence due to lack of trust in a reverse dieting approach mostly created from skewed perception of the obese epidemic,I do this because the body is not designed to live in a deficit and to also help my clients build a sustainable lifestyle. ,Yes,,,,
,ID29,100,749,TRUE,1/29/2024 7:47,EN,Lifestyle/General population,>8 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,20,,"We give them a base protein and fat amount based on their ending, lean muscle mass. Then move increase net carbs only unless more protein and fat are needed for increased activity and/or satiety without noted fat mass gains","We usually take it by week, not day, but if I break it down it would be about 40 kcal per day.",6-Apr,Increase,"Most often I see increased body fat levels in individuals who do not meet very lean dietary protein intake goals, with non-starchy vegetables, and who shift their calories to more simple carbs and/or fat. If dieters go back to ""old habits"" and/or decrease exercise. ",Yes,Yes,,,,
,ID30,100,276,TRUE,1/24/2024 5:09,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I only coach Women,,,,25-50g of carbs depending on how the fat loss phase went,12-Aug,Decrease,adherence - afraid to gain weight so continue to under eat,"Most of my clients are terrified to gain fat back, so a slow and steady approach puts them at ease",Yes,,,,
,ID31,100,2818,TRUE,1/30/2024 8:01,EN,Lifestyle/General population,>8 years,I coach both,Yes,Yes,I focus on Macronutrients,I coach Both,"I would add an extra 70-75 calories per day the first week of a reverse diet, following a fatloss phase.   220lbs male (100kg), Their new predicted TDEE would be approx. 3080 - 3520 depending on activity levels. I will take the lower range to be safe and minimize fat gain. To account for metabolic adaptation multiply by 90%. New predicted maintenance calories approx. 2772 calories with a goal of getting there within 3-4 weeks post fat loss phase.   2000 calories is low for 220lbs male, so my initial first week increase would be more aggressive at 25% increase of total calories (an extra 500 calories). So approx. 70-75 calories per day increase the first 7 days. ",,"Out of the 70-75 calories per day, I would do 0g protein increase, 15-16g carbs increase, 1-2 g fat increase per day for the first 7 days.   For a 220lbs male at 2000 calories. Ideally his protein is 1g/lbs considering he is in a fatloss phase. However that would be really difficult, since we do not know his goal weight to determine the protein, let’s take 0.8g/lbs which is 176g protein per day (704 calories). Fats minimum requirement is 0.25grams/lbs so 55grams of fat (495), the rest made up of carbs 200 grams (801 calories).   His protein is in a good place, so we would just be increasing his fats and carbs. Focus would be primarily carbs, and secondary fats. ","Per day, assuming protein was already 1g/lbs bodyweight. 0g protein increase, 1.7g fat increase, 7g carb increase per day the first 7 days.   132 lbs female. Predicted TDEE between 1848 - 2112 calories. Take the lower end since I do not know activity level. Multiply by 90% to account for metabolic adaptation - 1663 new predicted maintenance.  First week would add in 30% of her current calories (additional 300 calories). More aggressive since this is very low for a female. Assuming at the end of the fatloss phase, protein was at least 0.8-1.0 grams/lbs of bodyweight = 105.6 - 132 grams of protein. I will assume the higher end at 132 grams/lbs (considering she was in a fatloss phase and needed to maintain muscle).  132g Protein (528 calories) 33g fat (minimum 0.25 x lbs of bodyweight) (297 calories) 44g carbs (175 calories - filled in the rest after P and F were accounted for).   Protein is good so the focus is carbs and fats. Female generally need more hormonal fats so would be more aggressive with those than a male, 12 grams fat total, 48 grams carbs total. ",8-12 weeks,Decrease,"  Yes.   Specifically, physique competitors after prolong calorie restriction and incredibly low body fat levels. Due to the down regulation of several important hormones (such as thyroid, leptin, insulin, testosterone) and the increase of ghrelin, and cortisol, that are involved in hunger cues, and satiety, they often find that it’s challenging to stay within the reverse diet calories, as their hunger has been severely elevated. This can cause an over consumption of calories, and therefore significant body fat levels increasing very quickly. ","It depends on the client, however, it’s important to be able to balance your hormones again after severe fat loss phase. Staying in an extreme calorie deficit can have several negative side effects on your hormones, such as your thyroid, your metabolism, sex hormones, energy levels, mood, sleep, etc.. the goal is always to be able to get your calories back up to maintenance calories (and hopefully surpass predictive maintenance levels), while maintaining healthy body fat levels.",Yes,,,,
,ID32,56,295,FALSE,12/29/2023 13:28,EN,Competitive physique athletes,2-4 years,I coach both,Yes,Yes,I focus on Macronutrients,I coach Both,"I would initially increase by about 500 calories per day, not necessarily jump a small amount eat day",,,,,,,,,,,,
,ID33,100,595,TRUE,12/26/2023 17:53,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I only coach Women,,,,20+ grams carbs & 5 grams fat ~ until we reach TDEE/ maintenance calories ,6-8 depending on deficit depth ,Decrease,Slight increase in body fat levels ,"I find it better adherence with a slow and controlled reverse diet, rather than just bringing the calories immediately back up to maintenance.",Yes,,,,
,ID34,100,79,TRUE,1/23/2024 18:46,EN,Lifestyle/General population,5-8 years,I only coach natural athletes,Yes,No,,,,,,,,,,,,,,,
,ID35,100,921,TRUE,1/24/2024 18:29,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,I like to use guidelines from Layne Norton's book on reverse dieting. I'd need to know starting maintenance calories in regards to the 2000 cals. From here it would depend on the goals of the client. Conservative to moderate reverse. I let them have autonomy over what is next before we set cals.,,Protein will likely stay the same. Increase of CHO/Fat of 60/40,"Protein will likely stay the same. Increase of CHO/Fat of 60/40, but it will likely depend also on age and preference (is she peri or post menopause?)",4-8 weeks depending on the person and goals,No change,NA,"To help minimize weight regain after dieting and to get calories back up to maintenance, increase metabolism, energy, and hormone function",Yes,,,,
,ID36,100,55,TRUE,1/19/2024 18:19,EN,Lifestyle/General population,5-8 years,I coach both,Yes,No,,,,,,,,,,,,,,,
,ID37,100,707,TRUE,12/22/2023 19:01,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I only coach Women,,,,"Increasing 10-15g of carbs and 2-5g of fat daily, keeping protein the same assuming 2g of protein/kg of bw. This will roughly add ",2-4 weeks until maintenance is reached ,No change,N/a,Ideally the reverse diet phase especially for females will allow their hormones to balance out and increase their metabolism as they get back to maintenance without added on a lot of additional body fat. We want to make sure the body is utilizing each macronutrient efficiently and isn’t storing additional fat. I typically increase calories first before I change training intensity/cardio so I can isolate one thing.   ,Yes,,,,
,ID38,100,619,TRUE,12/23/2023 19:21,EN,Lifestyle/General population,<2 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I only coach Women,,,,"I feel like there’s a lot of context missing with this. If she ended at 1000 calorie she would be close to  140 protein, 30F and around 50C. I’d increase her protein and carb and see how her weight shifts with new macros after one week. I wouldn’t change them everyday. Her cardio would also be decreased and I’d want to see the speed of weight gain over >5 days",About the same amount of time they spent cutting ,Decrease,My clients haven’t struggled with any of this because we don’t take extreme measures. Adherence may be the most common since they don’t feel the need to be as strict on the diet ,Because a lot of people can starve and loose weight but they can’t keep it off because they just go right back to “eating normal”. I’ve had a lot of successful and sustained weight loss with this approach ,Yes,,,,
,ID39,56,73,FALSE,12/29/2023 11:00,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I only coach Women,,,,,,,,,,,,,
,ID40,100,1090,TRUE,1/2/2024 9:53,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,60-100,,[+/-]10-20 + 15-25 + 5-10,'-0-10 + 15-20 ± 5-10,At least as long as they've dieted up to twice as long depending on nature of deficit ,Decrease,None if they apply principles properly. A lot of lifestyle clients get impatient and overeat,"I want to increase calories (im also emphasizing strength training), micronutrient variety as well as stress that a ""diet""/deficit is not a lifestyle",Yes,,,,
,ID41,56,236,FALSE,1/3/2024 12:12,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I only coach Women,,,,,,,,,,,,,
,ID42,100,360,TRUE,12/22/2023 13:01,EN,Lifestyle/General population,2-4 years,I coach both,Yes,Yes,I focus on Calories,I coach Both,"100, but I wouldn’t do it that linearly ",,"Protein adding 0g, carbs likely adding 25g per day if it has to be per day, fats 3g if it has to be per day ","If it ended at 1000 im putting them right back to 2000 ASAP and focusing on hormones moreso than short term body comp, but maybe 75 kcals per day if we did it that way",16-Apr,Decrease,"Too rapid of water weight retention from non adherent cheat meals, leading to mild edema, high BP, etc","I don’t always. Check out MOGS on Spotify , Post Show Phase  episode ",Yes,,,,
,ID43,56,135,FALSE,1/2/2024 17:09,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I only coach Women,,,,,,,,,,,,,
,ID44,100,365,TRUE,12/27/2023 15:42,EN,Competitive physique athletes,2-4 years,I coach both,Yes,Yes,I focus on Macronutrients,I coach Both,200,,50g carbs,20g fat + 50g carbs,6-8 weeks,Decrease,Mentally very tough for individuals to gain the necessary body fat post show. Seeing yourself go from extremely lean back to around body fat set point where hormonal function is normalized I have seen be difficult mainly with my women athletes. ,"They tend to stay leaner, more insulin sensitive, and over time of doing this one’s body fat set point can lower a little bit more after each time doing so",Yes,,,,
,ID45,100,419,TRUE,12/27/2023 13:13,EN,Lifestyle/General population,>8 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,50,,50-100,50-100,20-May,No change,"If I misjudge the appropriate caloric crease for the client, adherence suffers","To avoid binge eats by, rebound weight gain or is decrease in metabolic rate unmatched to the increase in calories",Yes,,,,
,ID46,100,535,TRUE,12/29/2023 12:43,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,I increase 10% per week,,"I keep protein the same, and typically split the 10% increase between carbs and fats",increase 10% each week until at maintenance,8-12+,No change,n/a,The metabolism is typically ramped up and the body is likely to respond better to more calories,Yes,,,,
,ID47,56,160,FALSE,1/30/2024 22:18,EN,Lifestyle/General population,5-8 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,100 cal ,,,,,,,,,,,,
,ID48,11,73,FALSE,12/29/2023 9:16,EN,,,,,,,,,,,,,,,,,,,,
,ID49,11,63,FALSE,1/2/2024 5:21,EN,,,,,,,,,,,,,,,,,,,,
,ID50,100,181,TRUE,1/25/2024 19:12,EN,Lifestyle/General population,5-8 years,I only coach natural athletes,Yes,No,,,,,,,,,,,,,,,
,ID51,100,118,TRUE,12/26/2023 19:01,EN,Competitive physique athletes,2-4 years,I only coach natural athletes,No,No,,,,,,,,,,,,,,,
,ID52,56,289,FALSE,1/2/2024 19:06,EN,Competitive physique athletes,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,50 to 100 ,,,,,,,,,,,,
,ID53,100,706,TRUE,1/29/2024 20:39,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,150-200 calories,,"Approx. 10 g protein, 10 grams of carbs 15 g fat",Approx. 150 calories,This is dependant on the clients goals. Anywhere from 8-12 weeks on average.,No change,N/A,Body composition,Yes,,,,
,ID54,100,200,TRUE,12/22/2023 14:34,EN,Lifestyle/General population,<2 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I only coach Women,,,,,8-Jun,Decrease,n/a,"it ensures that the client does not gain a suboptimal amount of fat back after the dieting phase, while bringing them back up to maintenance ",,,,,
,ID55,100,3572,TRUE,1/4/2024 3:12,EN,Lifestyle/General population,<2 years,I coach both,Yes,Yes,I focus on Macronutrients,I coach Both,100 caries increase each week ,,Pro 35% cho 40% fat 25%,Pro 30% Cho 40% fat 30%,24 weeks,No change,Back to deficit ,Maintenance and increase metabolism ,Yes,,,,
,ID56,100,1003,TRUE,12/26/2023 9:10,EN,Lifestyle/General population,>8 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,250-300 calories,,"If protein was set higher than 220g, there would be a reduction to 220g of protein. CHO +40g and FAT +10g","If protein was set higher than 132g, there would be a reduction to 132g of protein. CHO +40g FAT +10g",min 4 weeks post diet upwards of 3 months to monitor. This is dependent on the client and the next outcome goal. Women are more concerned with fat regain and body image so there is more time spent on average with them.,Decrease,"Adherence if the reverse is too slow which then can lead to overeating. I have had clients that say they feel good, hormones are in check, and think they are where they want to be only to overshoot calories because they think they can and they end up in a surplus over and over again. Most of this in my opinion is due to their relationship with food and body.","If the client has another goal on the line sometimes a recovery diet is implemented vs a reverse diet. This means calories are immediately put at predicted maintenance cals in hopes there is no overshooting. In most cases though, a slower approach is used - again depending on the human and the extreme nature of the deficit.",Yes,,,,
,ID57,100,645,TRUE,12/27/2023 12:45,EN,Competitive physique athletes,2-4 years,I coach both,Yes,Yes,I focus on Calories,I coach Both,200-350 calories ,,"Less Protein (10-20gr), stable fats the first weeks and +30-60gr CHO","Stable Protein, + 10-15gr Fats and + 15-40gr CHOS ",8 weeks,No change,"I would call it ""forced adherence."" The main problem I detect is emotional problems, when leaving the preparation point, the mind tends to ""relax"" therefore they want to get out of that caloric deficit or failing that, they want a greater variety of flavors","To avoid inflammation and hyperemia of adipocytes, in addition to being able to maintain an ideal fat percentage to start an off-season stage.",Yes,,,,
,ID58,56,66,FALSE,2/6/2024 7:18,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I only coach Women,,,,,,,,,,,,,
,ID59,100,675,TRUE,12/27/2023 8:32,EN,Lifestyle/General population,5-8 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,I dont add cals daily. I will up 200 cals and roll with that for a week and reassess their bio feedback before upping again. ,,Ill add between 20 to 40 carbs and lower protein slightly matbe 10g,100 cals the first day...then keep the same rest of week. Will come from fat/carbs  ,Could be anywhere from 6 to 12 weeks,Decrease,"Digestive issues seem to be the bigger issue to manage as they need time to become comfortable and efficient utilizing the new level of cals coming in. For some this is quick, others this can mean smaller jumps weekly to allow the changes in the gut to take place to handle this elevated nutrition protocol",It allows the body time to adjust back. Depending on how long the person was in a cut for their metabolism may be downregulated and needs time to recognize more cals consistently coming in and allow for digestion to adjust to make use of all these cals. Jumping right up to 2500 after being at 1500 also mentally messes with clients becUse the scale will jump around alot more which can have negative effects mentally to the client and effect their adherence and confidence in the plan.  ,Yes,,,,
,ID60,56,211,FALSE,2/2/2024 13:38,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,50,,,,,,,,,,,,
,ID61,100,622,TRUE,12/27/2023 16:58,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Calories,I coach Both,"For lower weight females I typically increase at 100 calorie increments. If they are at 1,500 calories, I will increase to 1,600 for the next 7 days. For men, the increase is typically 150 calories.",,,,"3-4 for most. If a competitor that is very lean and extensive dieting, reverse may last 8-weeks",Increase,Adherence tends to be the biggest issue when returning to maintenance ,"More to just adjust to see where maintenance calories are at. Most lifestyle clients don’t need much for a reverse, but a competitor may need a bit more time in reverse. ",Yes,,,,
,ID62,100,88,TRUE,1/13/2024 22:38,EN,Lifestyle/General population,<2 years,I only coach natural athletes,Yes,No,,,,,,,,,,,,,,,
